"filename", "language", "C#", "JSON", "XML", "SQL", "Properties", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\.config\dotnet-tools.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 18
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\Champion.cs", "C#", 95, 0, 0, 0, 0, 9, 22, 126
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\Com.cs", "C#", 128, 0, 0, 0, 0, 13, 14, 155
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\Dbset.cs", "C#", 166, 0, 0, 0, 0, 0, 31, 197
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\Events.cs", "C#", 100, 0, 0, 0, 0, 22, 21, 143
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\Friend.cs", "C#", 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\admin.cs", "C#", 471, 0, 0, 0, 0, 66, 126, 663
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\all.cs", "C#", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\blog.cs", "C#", 77, 0, 0, 0, 0, 1, 20, 98
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\booking.cs", "C#", 33, 0, 0, 0, 0, 0, 25, 58
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\chatgpt.cs", "C#", 54, 0, 0, 0, 0, 2, 11, 67
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\comform.cs", "C#", 187, 0, 0, 0, 0, 1, 22, 210
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\excel.cs", "C#", 433, 0, 0, 0, 0, 25, 104, 562
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\file.cs", "C#", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\form_cs.cs", "C#", 398, 0, 0, 0, 0, 66, 184, 648
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\game.cs", "C#", 6, 0, 0, 0, 0, 0, 6, 12
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\gif.cs", "C#", 37, 0, 0, 0, 0, 5, 10, 52
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\login.cs", "C#", 577, 0, 0, 0, 0, 60, 129, 766
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\match_records.cs", "C#", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\new1.cs", "C#", 40, 0, 0, 0, 0, 4, 14, 58
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\news.cs", "C#", 98, 0, 0, 0, 0, 20, 29, 147
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\schedule.cs", "C#", 234, 0, 0, 0, 0, 45, 69, 348
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\user_form.cs", "C#", 123, 0, 0, 0, 0, 21, 40, 184
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Controllers\webhook.cs", "C#", 90, 0, 0, 0, 0, 4, 16, 110
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230520153407_qq.Designer.cs", "C#", 277, 0, 0, 0, 0, 2, 98, 377
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230520153407_qq.cs", "C#", 256, 0, 0, 0, 0, 3, 29, 288
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230520183338_booking.Designer.cs", "C#", 279, 0, 0, 0, 0, 2, 99, 380
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230520183338_booking.cs", "C#", 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230521023442_com.Designer.cs", "C#", 279, 0, 0, 0, 0, 2, 99, 380
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230521023442_com.cs", "C#", 14, 0, 0, 0, 0, 3, 6, 23
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230521024003_msg.Designer.cs", "C#", 282, 0, 0, 0, 0, 2, 100, 384
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230521024003_msg.cs", "C#", 23, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230527113938_news.Designer.cs", "C#", 300, 0, 0, 0, 0, 2, 107, 409
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230527113938_news.cs", "C#", 30, 0, 0, 0, 0, 3, 4, 37
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230606063920_bloga.Designer.cs", "C#", 320, 0, 0, 0, 0, 2, 115, 437
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230606063920_bloga.cs", "C#", 32, 0, 0, 0, 0, 3, 4, 39
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230607034600_shd.Designer.cs", "C#", 376, 0, 0, 0, 0, 2, 137, 515
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230607034600_shd.cs", "C#", 61, 0, 0, 0, 0, 3, 7, 71
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230721135317_base64.Designer.cs", "C#", 379, 0, 0, 0, 0, 2, 138, 519
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230721135317_base64.cs", "C#", 23, 0, 0, 0, 0, 3, 4, 30
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230731163702_newstime.Designer.cs", "C#", 396, 0, 0, 0, 0, 2, 144, 542
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230731163702_newstime.cs", "C#", 84, 0, 0, 0, 0, 3, 18, 105
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230801094752_userbase.Designer.cs", "C#", 398, 0, 0, 0, 0, 2, 145, 545
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230801094752_userbase.cs", "C#", 22, 0, 0, 0, 0, 3, 4, 29
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230811064518_formgx.Designer.cs", "C#", 429, 0, 0, 0, 0, 2, 158, 589
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230811064518_formgx.cs", "C#", 97, 0, 0, 0, 0, 3, 16, 116
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230811085149_formgx1.Designer.cs", "C#", 429, 0, 0, 0, 0, 2, 158, 589
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230811085149_formgx1.cs", "C#", 14, 0, 0, 0, 0, 3, 6, 23
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230813071738_champ.Designer.cs", "C#", 462, 0, 0, 0, 0, 2, 171, 635
"c:\Users\Administrator\Desktop\asg_form_houduan-main\asg_form\Migrations\20230813071738_champ.cs", "C#", 50, 0, 0, 0, 0, 3, 6, 59
